       [-0.0508, 0.0307, 0.0350, 0.0339],        ...,  0.0130,  0.0408, 0.0355],

[ 0.0018, 0.0282, 0.0349, 0.0338],

[ 0.0016, 0.0259, 0.0272, 0.0281],

[ 0.0001, 0.0264, 0.0272, 0.0279],

[ 0.0015, 0.0257, 0.0270, 0.0269],

[ 0.0014, 0.0257, 0.0256, 0.0256],

[ 0.0013, 0.0254, 0.0253, 0.0253],

[ 0.0012, 0.0251, 0.0251, 0.0251],

[ 0.0011, 0.0251, 0.0251, 0.0251],

[ 0.0010, 0.0251, 0.0251, 0.0251],

[ 0.0009, 0.0251, 0.0251, 0.0251],

[ 0.0008, 0.0251, 0.0251, 0.0251],

[ 0.0007, 0.0251, 0.0251, 0.0251],

[ 0.0006, 0.0251, 0.0251, 0.0251],

[ 0.0005, 0.0251, 0.0251, 0.0251],

[ 0.0004, 0.0251, 0.0251, 0.0251],

[ 0.0003, 0.0251, 0.0251, 0.0251],

[ 0.0002, 0.0251, 0.0251, 0.0251],

[ 0.
