~~~~~

1. What is the difference between the following two types of information? 2. What is the difference between the following two types of information? 3. What is the difference between the following two types of information?

There are two more possible meanings of the following two words.

2. ~~~~~

1. ~~~~~

2. ~~~~~

2. ~~~~~

There are other possible meanings of the following two words.

2. ~~~~~

1. ~~~~~

2. ~~~~~

3. ~~~~~

If the following two words are used, then the following two words are used.

2. ~~~~~

1. ~~~~~

2. ~~~~~

3. ~~~~~

The next two sentences are used as examples.

1. ~~~~~

1. ~~~~~

2. ~~~~~

3. ~~~~~

The first sentence is used as an example.

2. ~~~~~

1. ~~~~~

2. ~~~~~

3. ~~~~~

The second sentence is used as an example.

2. ~~~~~

1. ~~~~~

2. ~~~~~

3. ~~~~~

The third sentence is used as an example.

2. ~~~~~

1. ~~~~~

2. ~~~~~

3. ~~~~~

The fourth sentence is used as an example.

2. ~~~~~

1. ~~~~~

2. ~~~~~

3. ~~~~~

The fifth sentence is used as an example.

2. ~~~~~

1. ~~~~~

2. ~~~~~

3. ~~~~~

The sixth sentence is used as an example.

2. ~~~~~

1. ~~~~~

2. ~~~~~

3. ~~~~~

