
(1) When a taxpayer makes a change in the taxpayer's address, the taxpayer is deemed to have changed the taxpayer's address. If the change is made before the date of the change, the change must be made at least 30 days before the date of the change.

(2) The date on which the change is made must be the day on which the change is made.

(3) The date on which the change is made must be the day on which the change is made.

(4) If the taxpayer changes the address on which the change is made, the change must be made at least 30 days before the date of the change.

(5) If the change is made at least 30 days before the date of the change, the change must be made at least 30 days before the date of the change.

(6) The taxpayer can't make the change on the day that the change is made unless it is made on a day within the time specified in subsection (1).

(7) If the taxpayer makes a change on the day that the change is made, the change must be made at least 30 days before the date of the change.

(8) If the taxpayer makes a change under subsection (8), the change must be made at least 30 days before the date of the change.

(9) If the taxpayer makes a change under subsection (9), the change must be made at least 30 days before the date of the change.

(10) If the taxpayer makes a change under subsection (10), the change must be made at least 30 days before the date of the change.

(11) If the taxpayer makes a change under subsection (11), the change must be made at least 30 days before the date of the change.

(12) If the change is made at least 30 days before the date of the change, the change must be made at least 30 days before the date of the change.

(13) If the taxpayer makes a change under subsection (12), the change must be made at least 30 days before the date of the change.

(14) If
