
1 1 2 3

2 1 3 4

3 1 4 7 8

4 2 3 4 8

5 1 5 8 9

6 1 6 9 10

7 6 10 11

8 7 11 12

9 7 12 13

10 7 13 14

11 8 8 13 15

12 8 14 16

13 8 16 17

14 8 17 18

15 8 18 19

16 8 19 20

17 8 20 21

18 8 21 22

19 8 22 23

20 8 23 24

21 8 24 25

22 8 25 26

23 8 26 27

24 8 26 28

25 8 28 29

26 8 29 30

27 8 30 31

28 8 31 32

29 8 32 33

30 8 33 34

31 8 34 35

32 8 35 36

37 8 37 38

39 8 38 39

40 8 40 41

42 8 42 43

43 8 43 44

44 8 44 45

45 8 45 46

46 8 46 47

48 8 47 48

49 8 49 50

51 8 50 51

52 8 52 53

53 8 53 54

54 8 53 55

56 8 54 56

57 8 56 57

58 8 58 59

60 8 59 60

61 8 60 61

62 8 60 62

63 8 63 64

64 8 64 65

65 8 65 66

66 8 66 67

67 8 67 68

68 8 68 69

69 8 69 70

70 8 70 71

71 8 71 72

72 8 72 73

73 8 73 74

74 8 74 75

75 8 75 76

76 8 76 77

77 8 77 78

78 8 78 79

79 8 79 80

80 8 80 81

81 8 81 82

82 8 82 83

83 8 83 84

84 8 84 85

