
if (! isdefined ('z')) {

# endif

} else {

# define z (( int ) z) (( int * z) + 1);

z = z;

}

}

public:

// -----------------------------------------------------------------------------

// -----------------------------------------------------------------------------

# define

Z_SIZE ( 1 )

// -----------------------------------------------------------------------------

// -----------------------------------------------------------------------------

// -----------------------------------------------------------------------------

// -----------------------------------------------------------------------------

// -----------------------------------------------------------------------------

// -----------------------------------------------------------------------------

# define

Z_UNIFORM ( 1 )

// -----------------------------------------------------------------------------

// -----------------------------------------------------------------------------

// -----------------------------------------------------------------------------

# define

Z_STR ( 0 )

// -----------------------------------------------------------------------------

// -----------------------------------------------------------------------------

# define

Z_STR ( 1 )

// -----------------------------------------------------------------------------

// -----------------------------------------------------------------------------

// -----------------------------------------------------------------------------

// -----------------------------------------------------------------------------

// -----------------------------------------------------------------------------

# define

Z_STR2 ( 0 )

// -----------------------------------------------------------------------------

// -----------------------------------------------------------------------------

// -----------------------------------------------------------------------------

// -----------------------------------------------------------------------------

// -----------------------------------------------------------------------------

# define

Z_STR3 ( 0 )

// -----------------------------------------------------------------------------

// -----------------------------------------------------------------------------

// -----------------------------------------------------------------------------

# define

Z_STR4 ( 1 )

// -----------------------------------------------------------------------------

// -----------------------------------------------------------------------------

// -----------------------------------------------------------------------------

// -----------------------------------------------------------------------------

# define

Z_STR7 ( 0 )

// -----------------------------------------------------------------------------

// -----------------------------------------------------------------------------

// -----------------------------------------------------------------------------

// -----------------------------------------------------------------------------

# define

Z_STR8 ( 0 )

// -----------------------------------------------------------------------------

// -----------------------------------------------------------------------------

// -----------------------------------------------------------------------------

# define

Z_STR9 ( 0 )

// -----------------------------------------------------------------------------

// -----------------------------------------------------------------------------

// -----------------------------------------------------------------------------

# define

Z_STR10 ( 0 )

// -----------------------------------------------------------------------------

// -----------------------------------------------------------------------------

// -----------------------------------------------------------------------------

# define

Z_STR11 ( 0 )

// -----------------------------------------------------------------------------

// -----------------------------------------------------------------------------

// -----------------------------------------------------------------------------

# define

Z_STR12
