
Tl = 1 

Tl = 2 

Tl = 3 

Tl = 4 

Tl = 5 

Tl = 6 

Tl = 7 

Tl = 8 

Tl = 9 

Tl = 10 

Tl = 11 

Tl = 12 

Tl = 13 

Tl = 14 

Tl = 15 

Tl = 16 

Tl = 17 

Tl = 18 

Tl = 19 

Tl = 20 

Tl = 21 

Tl = 22 

Tl = 23 

Tl = 24 

Tl = 25 

Tl = 26 

Tl = 27 

Tl = 28 

Tl = 29 

Tl = 30 

Tl = 31 

Tl = 32 

Tl = 33 

Tl = 34 

Tl = 35 

Tl = 36 

Tl = 37 

Tl = 38 

Tl = 39 

Tl = 40 

Tl = 41 

Tl = 42 

Tl = 43 

Tl = 44 

Tl = 45 

Tl = 46 

Tl = 47 

Tl = 48 

Tl = 49 

Tl = 50 

Tl = 51 

Tl = 52 

Tl = 53 

Tl = 54 

Tl = 55 

Tl = 56 

Tl = 57 

Tl = 58 

Tl = 59 

Tl = 60 

Tl = 61 

Tl = 62 

Tl = 63 

Tl = 64 

T
