
Bulk Copy of current source code is displayed in the following format:

%typed %redraw%

%t.txt%

%typed %redraw%

%truncated%

%t.txt%


%typed %redraw%

%t.txt%

%typed %redraw%

%truncated%

%t.txt%

%typed %redraw%


%t.txt%

%typed %redraw%

%t.txt%

%typed %redraw%


<script type="text/javascript"> var tpl = document.getElementById('tpl'); tpl.push(tpl); </script>


<script type="text/javascript"> var tpl = document.getElementById('tpl'); tpl.push(tpl); </script>


<script type="text/javascript"> var tpl = document.getElementById('tpl'); tpl.push(tpl); </script>


<script type="text/javascript"> var tpl = document.getElementById('tpl'); tpl.push(tpl); </script>


<script type="text/javascript"> var tpl = document.getElementById('tpl'); tpl.push(tpl); </script>


<script type="text/javascript"> var tpl = document.getElementById('tpl'); tpl.push(tpl); </script>


<script type="text/javascript"> var tpl = document.getElementById('tpl'); tpl.push(tpl); </script>


<script type="text/javascript"> var tpl = document.getElementById('tpl'); tpl.push(tpl); </script>


<script type="text/javascript"> var tpl = document.getElementById('tpl'); tpl.push(tpl); </script>


<script type="text/javascript">
