

(1) The meaning of "A is the word that is called to the field a" (not "an object that is called to the field a"). The phrase is a sentence.

(2) "A is the word that is called to the field a" (not "an object that is called to the field a"). The phrase is a sentence.

(3) "A is the word that is called to the field a" (not "an object that is called to the field a"). The phrase is a sentence.

(4) "A is the word that is called to the field a" (not "an object that is called to the field a"). The phrase is a sentence.

(5) "A is the word that is called to the field a" (not "an object that is called to the field a"). The phrase is a sentence.

(6) "A is the word that is called to the field a" (not "an object that is called to the field a"). The phrase is a sentence.

(7) "A is the word that is called to the field a" (not "an object that is called to the field a"). The phrase is a sentence.

(8) "A is the word that is called to the field a" (not "an object that is called to the field a"). The phrase is a sentence.

(9) "A is the word that is called to the field a" (not "an object that is called to the field a"). The phrase is a sentence.

(10) "A is the word that is called to the field a" (not "an object that is called to the field a"). The phrase is a sentence.

(11) "A is the word that is called to the field a" (not "an object that is called to the field a"). The phrase is a sentence.

(12) "A is the word that is called to the field a" (not "an object that is called to the field a"). The phrase is a sentence.

(
