______________.

1) Theorem 17 is true.

2) Theorem 18 is false.

3) Theorem 19 is true.

4) Theorem 20 is false.

5) Theorem 21 is false.

6) Theorem 22 is true.

7) Theorem 23 is false.

8) Theorem 24 is false.

9) Theorem 25 is true.

10) Theorem 26 is true.

11) Theorem 27 is true.

12) Theorem 28 is true.

13) Theorem 29 is true.

14) Theorem 30 is true.

15) Theorem 31 is true.

16) Theorem 32 is true.

17) Theorem 33 is true.

18) Theorem 34 is true.

19) Theorem 35 is true.

20) Theorem 36 is true.

21) Theorem 37 is true.

22) Theorem 38 is true.

23) Theorem 39 is true.

24) Theorem 40 is true.

25) Theorem 41 is true.

26) Theorem 42 is true.

27) Theorem 43 is true.

28) Theorem 44 is true.

29) Theorem 45 is true.

30) Theorem 46 is true.

31) Theorem 47 is true.

32) Theorem 48 is true.

33) Theorem 49 is true.

34) Theorem 50 is true.

35) Theorem 51 is true.

36) Theorem 52 is true.

37) Theorem 53 is true.

38) Theorem 54 is true.

39) Theorem 55 is true.

40) Theorem 56 is true.

41) Theorem 57 is true.

42) Theorem 58 is true.

43) Theorem 59 is true.

44) Theorem 60 is true.

45) Theorem 61
