_______

1) "The integrity of the House of Commons requires a commitment to integrity in the House which includes the integrity of Parliament."

2) "For a Member of Parliament to participate in a committee that was not authorized to do so is to assume that the Member has acted in the House of Commons in the ordinary course of his or her duties."

3) "The House of Commons does not, and has not, the power to order the House of Commons to do so."

4) "If a Member of Parliament has acted in a way which would breach the House of Commons' parliamentary privileges, he or she is not entitled to a hearing or to a hearing under the Act."

5) "The House of Commons is not subject to a Parliamentary privilege on or off any other issue of the House of Commons or any other member of Parliament."

6) "It is not the House of Commons that is the subject of any Parliamentary privilege on the issue of the House of Commons or any other member of Parliament."

7) "The House of Commons is not subject to a Parliamentary privilege on or off any other issue of the House of Commons."

8) "There should be no question of a Parliamentary privilege on or off any matter of the House of Commons or any other member of Parliament."

9) "The House of Commons is not the subject of a Parliamentary privilege on or off any issue of the House of Commons or any other member of Parliament."

10) "The House of Commons is not the subject of a Parliamentary privilege on or off any matter of the House of Commons or any other member of Parliament."

11) "The House of Commons is not the subject of a Parliamentary privilege on or off any matter of the House of Commons or any other member of Parliament."

12) "It is not the House of Commons that is the subject of a Parliamentary privilege on or off any matter of the House of Commons or any other member of Parliament."

13) "The House of Commons is not the subject of a Parliamentary privilege on or off any matter of the House of Commons or any other member of Parliament."

14) "
